condition,kind,block,endpoint,recorded_utc,power_source,battery_percent,load_1m,load_5m,load_15m,record
cse_dce/rlp,measured,7,after,2026-09-11T07:25:36.961751+00:00,AC Power,18,9.88,8.29,6.16,owner_state/results/collect-20260911T071527362410Z/043-measured-07-cse_dce-rlp-after.json
baseline/rlp,measured,7,before,2026-09-11T07:25:37.028700+00:00,AC Power,18,9.88,8.29,6.16,owner_state/results/collect-20260911T071527362410Z/044-measured-07-baseline-rlp-before.json
baseline/rlp,measured,7,after,2026-09-11T07:25:47.047747+00:00,AC Power,18,9.62,8.28,6.18,owner_state/results/collect-20260911T071527362410Z/044-measured-07-baseline-rlp-after.json
baseline/direct,measured,7,before,2026-09-11T07:25:47.116586+00:00,AC Power,18,9.62,8.28,6.18,owner_state/results/collect-20260911T071527362410Z/045-measured-07-baseline-direct-before.json
baseline/direct,measured,7,after,2026-09-11T07:25:55.860336+00:00,AC Power,18,9.0,8.19,6.18,owner_state/results/collect-20260911T071527362410Z/045-measured-07-baseline-direct-after.json
cse_dce/direct,measured,7,before,2026-09-11T07:25:55.919854+00:00,AC Power,18,9.0,8.19,6.18,owner_state/results/collect-20260911T071527362410Z/046-measured-07-cse_dce-direct-before.json
cse_dce/direct,measured,7,after,2026-09-11T07:26:04.538122+00:00,AC Power,18,9.76,8.38,6.27,owner_state/results/collect-20260911T071527362410Z/046-measured-07-cse_dce-direct-after.json
baseline/ssz,measured,7,before,2026-09-11T07:26:04.598662+00:00,AC Power,18,9.76,8.38,6.27,owner_state/results/collect-20260911T071527362410Z/047-measured-07-baseline-ssz-before.json
baseline/ssz,measured,7,after,2026-09-11T07:26:14.396189+00:00,AC Power,18,10.88,8.67,6.39,owner_state/results/collect-20260911T071527362410Z/047-measured-07-baseline-ssz-after.json
cse_dce/ssz,measured,7,before,2026-09-11T07:26:14.465986+00:00,AC Power,18,10.88,8.67,6.39,owner_state/results/collect-20260911T071527362410Z/048-measured-07-cse_dce-ssz-before.json
cse_dce/ssz,measured,7,after,2026-09-11T07:26:24.423710+00:00,AC Power,18,11.46,8.86,6.49,owner_state/results/collect-20260911T071527362410Z/048-measured-07-cse_dce-ssz-after.json
cse_dce/direct,measured,8,before,2026-09-11T07:26:24.488935+00:00,AC Power,18,11.46,8.86,6.49,owner_state/results/collect-20260911T071527362410Z/049-measured-08-cse_dce-direct-before.json
cse_dce/direct,measured,8,after,2026-09-11T07:26:33.143819+00:00,AC Power,18,10.89,8.83,6.5,owner_state/results/collect-20260911T071527362410Z/049-measured-08-cse_dce-direct-after.json
cse_dce/ssz,measured,8,before,2026-09-11T07:26:33.204871+00:00,AC Power,18,10.89,8.83,6.5,owner_state/results/collect-20260911T071527362410Z/050-measured-08-cse_dce-ssz-before.json
cse_dce/ssz,measured,8,after,2026-09-11T07:26:42.961637+00:00,AC Power,18,10.26,8.73,6.48,owner_state/results/collect-20260911T071527362410Z/050-measured-08-cse_dce-ssz-after.json
baseline/rlp,measured,8,before,2026-09-11T07:26:43.027891+00:00,AC Power,18,10.26,8.73,6.48,owner_state/results/collect-20260911T071527362410Z/051-measured-08-baseline-rlp-before.json
baseline/rlp,measured,8,after,2026-09-11T07:26:52.887333+00:00,AC Power,18,9.86,8.69,6.49,owner_state/results/collect-20260911T071527362410Z/051-measured-08-baseline-rlp-after.json
baseline/ssz,measured,8,before,2026-09-11T07:26:52.956486+00:00,AC Power,18,9.86,8.69,6.49,owner_state/results/collect-20260911T071527362410Z/052-measured-08-baseline-ssz-before.json
baseline/ssz,measured,8,after,2026-09-11T07:27:02.898830+00:00,AC Power,18,9.75,8.7,6.52,owner_state/results/collect-20260911T071527362410Z/052-measured-08-baseline-ssz-after.json
cse_dce/rlp,measured,8,before,2026-09-11T07:27:02.966434+00:00,AC Power,18,9.75,8.7,6.52,owner_state/results/collect-20260911T071527362410Z/053-measured-08-cse_dce-rlp-before.json
cse_dce/rlp,measured,8,after,2026-09-11T07:27:12.731917+00:00,AC Power,18,9.51,8.68,6.54,owner_state/results/collect-20260911T071527362410Z/053-measured-08-cse_dce-rlp-after.json
baseline/direct,measured,8,before,2026-09-11T07:27:12.798341+00:00,AC Power,18,9.51,8.68,6.54,owner_state/results/collect-20260911T071527362410Z/054-measured-08-baseline-direct-before.json
baseline/direct,measured,8,after,2026-09-11T07:27:21.357107+00:00,AC Power,18,9.32,8.66,6.56,owner_state/results/collect-20260911T071527362410Z/054-measured-08-baseline-direct-after.json
