condition,variant,mode,kind,block,position,sequence,prove_s,verify_ms,assembly_ms,process_s,instructions,memory_cells,log_mem,xor,mul,committed_cells,proof_bytes,max_rss_bytes,peak_footprint_bytes,execution_s,witness_build_s,commitment_s,bus_s,constraints_s,opening_s,other_s,four_major_proving_stages_s,prove_after_execution_and_build_s,phase_execute_ms,phase_build_ms,phase_transcript_setup_ms,phase_commit_ms,phase_bus_ms,phase_constraints_ms,phase_claim_prep_ms,phase_reduction_ms,phase_pcs_open_ms,phase_finalize_ms,phase_internal_total_ms,phase_internal_residual_ms,phase_outer_prove_residual_ms,phase_outer_timer_resolution_ms,log,log_sha256
baseline/direct,baseline,direct,measured,1,5,11,7.505869,161.654,535.628,8.44784475,7591107,7585562,23,6025928,1565046,182455228,831168,38443008000,38429028048,0.472128541,0.657792584,2.123861834,2.309296375,0.496869417,1.269885625,0.176034624,6.199913251,6.375947875,472.128541,657.792584,0.004334,2123.861834,2309.296375,496.869417,0.02025,2.231334,1269.885625,0.005458,7332.138125,0.042373,173.730875,0.001,owner_state/results/collect-20260911T074413358669Z/011-measured-01-baseline-direct.log,ecbb6b9debcd7d4e3093670952b7d4d2e79918d2974570df14e339188577ebd3
baseline/ssz,baseline,ssz,measured,1,6,12,7.953993,316.507,1043.141,9.674638375,8575525,8569724,24,6663941,1911451,207621052,834016,40991277056,40976840320,0.863271791,0.785105333,2.04688575,2.361771333,0.461164583,1.323566041,0.112228169,6.193387707,6.305615876,863.271791,785.105333,0.005083,2046.88575,2361.771333,461.164583,0.025083,2.254083,1323.566041,0.0055,7844.080667,0.026087,109.912333,0.001,owner_state/results/collect-20260911T074413358669Z/012-measured-01-baseline-ssz.log,39139cc0e9b0fc34b6663a0da091c02664221c3405ca0c888c5f14e3e9db46b6
cse_dce/ssz,cse_dce,ssz,measured,2,1,13,7.998776,316.643,1045.717,9.728514833,8482697,8476896,24,6592617,1889947,207621052,836384,41176563712,41160750960,0.836855916,0.778776833,2.105906333,2.387726875,0.463220875,1.315338958,0.11095021,6.272193041,6.383143251,836.855916,778.776833,0.005416,2105.906333,2387.726875,463.220875,0.023792,2.4115,1315.338958,0.012708,7890.30025,0.021044,108.47575,0.001,owner_state/results/collect-20260911T074413358669Z/013-measured-02-cse_dce-ssz.log,792979bcb5a00bd9dbc1bb1ce4b760488eb84e1a6e6083e31eb4f57995f319cf
baseline/ssz,baseline,ssz,measured,2,2,14,8.090719,326.987,1052.452,9.833378458,8575525,8569724,24,6663941,1911451,207621052,834016,41123315712,41112549160,0.8896095,0.785373125,2.095350875,2.475082375,0.452453125,1.27888375,0.11396625,6.301770125,6.415736375,889.6095,785.373125,0.004833,2095.350875,2475.082375,452.453125,0.024541,2.378875,1278.88375,0.007083,7979.200208,0.032126,111.518792,0.001,owner_state/results/collect-20260911T074413358669Z/014-measured-02-baseline-ssz.log,990429c2d0a6ce2fd5ed7e86a00d35f1e67674c1e76e034af481f9877f7878c6
cse_dce/direct,cse_dce,direct,measured,2,3,15,7.653882,168.179,544.523,8.629788791,7498510,7492965,23,5954835,1543542,182455228,834752,38555369472,38541504328,0.468149542,0.668243833,2.271358125,2.412976834,0.464481667,1.276665041,0.092006958,6.425481667,6.517488625,468.149542,668.243833,0.004208,2271.358125,2412.976834,464.481667,0.021917,2.249291,1276.665041,0.004292,7564.188916,0.034166,89.693084,0.001,owner_state/results/collect-20260911T074413358669Z/015-measured-02-cse_dce-direct.log,afc57d1d4b5b660c77fccd1181ab97a1cfa77aa3e5c57b291c1ca2beb1ad2e0c
baseline/direct,baseline,direct,measured,2,4,16,7.574293,166.516,527.971,8.528104083,7591107,7585562,23,6025928,1565046,182455228,831168,38576439296,38563393328,0.464134833,0.680834958,2.277462125,2.343637625,0.436127291,1.272450417,0.099645751,6.329677458,6.429323209,464.134833,680.834958,0.004417,2277.462125,2343.637625,436.127291,0.024708,2.073208,1272.450417,0.005334,7476.775333,0.020417,97.517667,0.001,owner_state/results/collect-20260911T074413358669Z/016-measured-02-baseline-direct.log,b845bb079cc39aa0423bdc5db614a8b41467a17740b13fe3437ba89b17d10896
baseline/rlp,baseline,rlp,measured,2,5,17,8.054171,319.49,1051.781,9.80752395801,8560191,8554175,24,6797891,1762167,207621052,834080,41098280960,41082222448,0.8560405,0.800012333,2.065430167,2.487711417,0.460224542,1.261801459,0.122950582,6.275167585,6.398118167,856.0405,800.012333,0.004125,2065.430167,2487.711417,460.224542,0.0255,2.249542,1261.801459,0.007125,7933.543375,0.036665,120.627625,0.001,owner_state/results/collect-20260911T074413358669Z/017-measured-02-baseline-rlp.log,ee71c5cfea3a48601a118ecf4c2f2f3956cf346b5460b6b34b6993fdaabdcc41
cse_dce/rlp,cse_dce,rlp,measured,2,6,18,7.694334,294.577,1046.235,9.357795292,8462089,8456073,24,6722637,1739319,207621052,835712,41044754432,41032545920,0.779444792,0.800118583,1.988257917,2.279008541,0.491467583,1.19859425,0.157442334,5.957328291,6.114770625,779.444792,800.118583,0.00475,1988.257917,2279.008541,491.467583,0.018958,2.204083,1198.59425,0.0065,7539.151375,0.025418,155.182625,0.001,owner_state/results/collect-20260911T074413358669Z/018-measured-02-cse_dce-rlp.log,2ee774abce0560bbd246a654234f624f842c9d9a420bb554654bf67c5127e125
cse_dce/rlp,cse_dce,rlp,measured,3,1,19,7.749535,308.537,1047.36,9.423204709,8462089,8456073,24,6722637,1739319,207621052,835712,41025388544,41019438696,0.837090916,0.786650125,1.849103041,2.309042541,0.492661542,1.297340291,0.177646544,5.948147415,6.125793959,837.090916,786.650125,0.004625,1849.103041,2309.042541,492.661542,0.027167,2.317042,1297.340291,0.004,7574.264334,0.023044,175.270666,0.001,owner_state/results/collect-20260911T074413358669Z/019-measured-03-cse_dce-rlp.log,3f94c4a156fe28600ba3291147063b1d71d850612ae2a2002984d76b3f62fd0f
baseline/rlp,baseline,rlp,measured,3,2,20,7.790737,378.836,1026.039,9.551120166,8560191,8554175,24,6797891,1762167,207621052,834080,43039571968,44188778056,0.815993042,0.819992792,2.012555042,2.185708791,0.430788583,1.376697917,0.149000833,6.005750333,6.154751166,815.993042,819.992792,0.003875,2012.555042,2185.708791,430.788583,0.016291,2.307583,1376.697917,0.005875,7644.092,0.022209,146.645,0.001,owner_state/results/collect-20260911T074413358669Z/020-measured-03-baseline-rlp.log,d36caa716e6e23fc92abde238b04822962f6439c72f957c36ea420c46a000fa7
