condition,variant,mode,kind,block,position,sequence,prove_s,verify_ms,assembly_ms,process_s,instructions,memory_cells,log_mem,xor,mul,committed_cells,proof_bytes,max_rss_bytes,peak_footprint_bytes,execution_s,witness_build_s,commitment_s,bus_s,constraints_s,opening_s,other_s,four_major_proving_stages_s,prove_after_execution_and_build_s,phase_execute_ms,phase_build_ms,phase_transcript_setup_ms,phase_commit_ms,phase_bus_ms,phase_constraints_ms,phase_claim_prep_ms,phase_reduction_ms,phase_pcs_open_ms,phase_finalize_ms,phase_internal_total_ms,phase_internal_residual_ms,phase_outer_prove_residual_ms,phase_outer_timer_resolution_ms,log,log_sha256
cse_dce/ssz,cse_dce,ssz,measured,22,3,69,7.120485,297.472,1023.451,8.73499625,8482697,8476896,24,6592617,1889947,207621052,836384,44083478528,44103204592,0.79551275,0.702262875,1.859509083,2.123795625,0.423775458,1.11109525,0.104533959,5.518175416,5.622709375,795.51275,702.262875,0.0045,1859.509083,2123.795625,423.775458,0.021208,2.409417,1111.09525,0.006833,7018.415167,0.022168,102.069833,0.001,owner_state/results/collect-20260915T094023087152Z/069-measured-22-cse_dce-ssz.log,4690b0d73cc3e64b2dc2c6bd1934e978086f0e875f1d078b42274088e3620dc8
cse_dce/rlp,cse_dce,rlp,measured,23,1,70,7.134788,297.802,1025.369,8.764967833,8462089,8456073,24,6722637,1739319,207621052,835712,44144754688,44164349512,0.798747667,0.69561775,1.82884175,2.150011334,0.39966,1.159914958,0.101994541,5.538428042,5.640422583,798.747667,695.61775,0.004417,1828.84175,2150.011334,399.66,0.02,2.47575,1159.914958,0.005791,7035.321583,0.022166,99.466417,0.001,owner_state/results/collect-20260915T094023087152Z/070-measured-23-cse_dce-rlp.log,ec57e6bd15939b82e2a1be033368cb9e400829811acb15e37cd17a169b5bf8d0
cse_dce/direct,cse_dce,direct,measured,23,2,71,6.366002,147.835,528.27,7.230295958,7498510,7492965,23,5954835,1543542,182455228,834752,41413689344,41432020800,0.448728667,0.602019334,1.891665208,1.926282375,0.397892,1.002238792,0.097175624,5.218078375,5.315253999,448.728667,602.019334,0.006041,1891.665208,1926.282375,397.892,0.016,2.096791,1002.238792,0.004334,6270.96975,0.020208,95.03225,0.001,owner_state/results/collect-20260915T094023087152Z/071-measured-23-cse_dce-direct.log,8b7110015e81973b2d4dc3dc3242b13537c33905d5a20bb92a30c4f0dc61c1ed
cse_dce/ssz,cse_dce,ssz,measured,23,3,72,6.852296,293.662,1005.008,8.435849917,8482697,8476896,24,6592617,1889947,207621052,836384,44083281920,44102975168,0.724368833,0.689466209,1.744958917,2.044978417,0.422390542,1.128159125,0.097973957,5.340487001,5.438460958,724.368833,689.466209,0.0045,1744.958917,2044.978417,422.390542,0.019041,2.120958,1128.159125,0.003916,6756.493625,0.023167,95.802375,0.001,owner_state/results/collect-20260915T094023087152Z/072-measured-23-cse_dce-ssz.log,c507a7a94afbc04bfb0796603973531b439a4c8922dd2b9a282f739d89711cf4
cse_dce/ssz,cse_dce,ssz,measured,24,1,73,7.051674,298.615,1001.86,8.650940084,8482697,8476896,24,6592617,1889947,207621052,836384,44081971200,44101680856,0.722703541,0.726578542,1.800561792,2.077965917,0.456653917,1.165168958,0.102041333,5.500350584,5.602391917,722.703541,726.578542,0.004458,1800.561792,2077.965917,456.653917,0.0195,2.595125,1165.168958,0.006125,6952.304167,0.046292,99.369833,0.001,owner_state/results/collect-20260915T094023087152Z/073-measured-24-cse_dce-ssz.log,645e3618b967fa210f182e7a3632e3282b64b699720af839d2cca01d5663bca8
cse_dce/rlp,cse_dce,rlp,measured,24,2,74,7.078283,298.981,1048.92,8.720432583,8462089,8456073,24,6722637,1739319,207621052,835712,44141871104,44161465928,0.809119166,0.749489708,1.823492125,2.090874375,0.420172292,1.080653333,0.104482001,5.415192125,5.519674126,809.119166,749.489708,0.004708,1823.492125,2090.874375,420.172292,0.022417,2.260625,1080.653333,0.009333,6976.127542,0.02946,102.155458,0.001,owner_state/results/collect-20260915T094023087152Z/074-measured-24-cse_dce-rlp.log,d8a6c23d66ca75cac262150bc7852f28a63781a41571ce9ead2f4953954197b2
cse_dce/direct,cse_dce,direct,measured,24,3,75,6.488079,155.116,518.746,7.365838042,7498510,7492965,23,5954835,1543542,182455228,834752,41614934016,41633380328,0.4330795,0.5843655,1.814794083,1.960519333,0.443435625,1.13546325,0.116421709,5.354212291,5.470634,433.0795,584.3655,0.004333,1814.794083,1960.519333,443.435625,0.017167,2.571333,1135.46325,0.004958,6374.277417,0.022335,113.801583,0.001,owner_state/results/collect-20260915T094023087152Z/075-measured-24-cse_dce-direct.log,fbb53ea203bb3f88c92f7d90e1ac67728ae3cfef6fde692b9c5680a2212e6dec
cse_dce/ssz,cse_dce,ssz,measured,25,1,76,6.929312,286.149,1021.698,8.512088208,8482697,8476896,24,6592617,1889947,207621052,836384,44080365568,44100108040,0.788258083,0.689687375,1.811599667,2.095739584,0.41887125,1.029389542,0.095766499,5.355600043,5.451366542,788.258083,689.687375,0.004834,1811.599667,2095.739584,418.87125,0.016083,2.121708,1029.389542,0.006459,6835.718166,0.023581,93.593834,0.001,owner_state/results/collect-20260915T094023087152Z/076-measured-25-cse_dce-ssz.log,348728ae9a6026dbf3155c5a176eabced77b565d50d68b7707581d0a29aed1c6
cse_dce/rlp,cse_dce,rlp,measured,25,2,77,6.962887,300.848,1019.103,8.591413666,8462089,8456073,24,6722637,1739319,207621052,835712,44137299968,44156976832,0.736508,0.717438334,1.775956083,2.084564,0.416843667,1.125271292,0.106305624,5.402635042,5.508940666,736.508,717.438334,0.003708,1775.956083,2084.564,416.843667,0.017833,2.572125,1125.271292,0.0065,6859.209375,0.027833,103.677625,0.001,owner_state/results/collect-20260915T094023087152Z/077-measured-25-cse_dce-rlp.log,393f050a7612d0c2735ddc2222f0174eb3539f792372622dd41e5667fd198d19
cse_dce/direct,cse_dce,direct,measured,25,3,78,6.542291,149.383,526.582,7.412720166,7498510,7492965,23,5954835,1543542,182455228,834752,41415770112,41434085160,0.441209583,0.587413416,1.926451583,2.008223791,0.410780625,1.055911041,0.112300961,5.40136704,5.513668001,441.209583,587.413416,0.004209,1926.451583,2008.223791,410.780625,0.018834,2.148833,1055.911041,0.00475,6432.186417,0.019752,110.104583,0.001,owner_state/results/collect-20260915T094023087152Z/078-measured-25-cse_dce-direct.log,f035a607d28c1bdb389652a99a2dfe92944db38ae49df2cecbf64fd1430a00d1
